coluna;label_coluna;valor;label_valor
A8A;Considerando as seguintes faixas, qual é a velocidade da Internet contratada neste domicílio?;1.0;Até 4 megas por segundo
A8A;Considerando as seguintes faixas, qual é a velocidade da Internet contratada neste domicílio?;2.0;De 5 a 10 megas por segundo
A8A;Considerando as seguintes faixas, qual é a velocidade da Internet contratada neste domicílio?;3.0;De 11 a 50 megas por segundo
A8A;Considerando as seguintes faixas, qual é a velocidade da Internet contratada neste domicílio?;4.0;De 51 a 100 megas por segundo
A8A;Considerando as seguintes faixas, qual é a velocidade da Internet contratada neste domicílio?;5.0;De 101 a 300 megas por segundo
A8A;Considerando as seguintes faixas, qual é a velocidade da Internet contratada neste domicílio?;6.0;De 301 a 500 megas por segundo
A8A;Considerando as seguintes faixas, qual é a velocidade da Internet contratada neste domicílio?;7.0;501 megas por segundo ou mais
A8A;Considerando as seguintes faixas, qual é a velocidade da Internet contratada neste domicílio?;97.0;Não sabe
A8A;Considerando as seguintes faixas, qual é a velocidade da Internet contratada neste domicílio?;98.0;Não respondeu
A8A;Considerando as seguintes faixas, qual é a velocidade da Internet contratada neste domicílio?;99.0;Não se aplica
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;0.0;Não paga nada
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;1.0;Até R$ 10
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;2.0;De R$11 a R$ 20
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;3.0;De R$21 a R$ 30
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;4.0;De R$31 a R$ 40
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;5.0;De R$41 a R$ 50
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;6.0;De R$51 a R$ 60
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;7.0;De R$61 a R$ 70
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;8.0;De R$71 a R$ 80
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;9.0;De R$81 a R$ 90
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;10.0;De R$91 a R$ 100
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;11.0;De R$101 a R$ 110
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;12.0;De R$111 a R$ 120
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;13.0;De R$121 a R$ 130
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;14.0;De R$131 a R$ 140
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;15.0;De R$141 a R$ 150
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;16.0;Acima de R$ 150
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;17.0;Não paga nada
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;97.0;Não sabe
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;98.0;Não respondeu
A9A;Qual o valor aproximadamente pago pela Internet contratada no domicílio?;99.0;Não se aplica
A9B;Esse valor refere-se a um pacote ou combo que inclui outros serviços, como telefone fixo ou canais de TV por assinatura, por exemplo?;0.0;Não
A9B;Esse valor refere-se a um pacote ou combo que inclui outros serviços, como telefone fixo ou canais de TV por assinatura, por exemplo?;1.0;Sim
A9B;Esse valor refere-se a um pacote ou combo que inclui outros serviços, como telefone fixo ou canais de TV por assinatura, por exemplo?;97.0;Não sabe
A9B;Esse valor refere-se a um pacote ou combo que inclui outros serviços, como telefone fixo ou canais de TV por assinatura, por exemplo?;98.0;Não respondeu
A9B;Esse valor refere-se a um pacote ou combo que inclui outros serviços, como telefone fixo ou canais de TV por assinatura, por exemplo?;99.0;Não se aplica
A9C;E o(a) sr(a) sabe o valor apenas da Internet?;0.0;Não
A9C;E o(a) sr(a) sabe o valor apenas da Internet?;1.0;Sim
A9C;E o(a) sr(a) sabe o valor apenas da Internet?;99.0;Não se aplica
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;0.0;Não paga nada
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;1.0;Até R$ 10
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;2.0;De R$11 a R$ 20
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;3.0;De R$21 a R$ 30
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;4.0;De R$31 a R$ 40
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;5.0;De R$41 a R$ 50
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;6.0;De R$51 a R$ 60
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;7.0;De R$61 a R$ 70
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;8.0;De R$71 a R$ 80
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;9.0;De R$81 a R$ 90
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;10.0;De R$91 a R$ 100
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;11.0;De R$101 a R$ 110
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;12.0;De R$111 a R$ 120
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;13.0;De R$121 a R$ 130
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;14.0;De R$131 a R$ 140
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;15.0;De R$141 a R$ 150
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;16.0;Acima de R$ 150
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;17.0;Não paga nada
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;97.0;Não sabe
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;98.0;Não respondeu
A9D;E qual o valor pago aproximadamente apenas pela Internet contratada neste domicílio?;99.0;Não se aplica
PESO;None;;
REP1;None;;
REP2;None;;
REP3;None;;
REP4;None;;
REP5;None;;
REP6;None;;
REP7;None;;
REP8;None;;
REP9;None;;
REP10;None;;
REP11;None;;
REP12;None;;
REP13;None;;
REP14;None;;
REP15;None;;
REP16;None;;
REP17;None;;
REP18;None;;
REP19;None;;
REP20;None;;
REP21;None;;
REP22;None;;
REP23;None;;
REP24;None;;
REP25;None;;
REP26;None;;
REP27;None;;
REP28;None;;
REP29;None;;
REP30;None;;
REP31;None;;
REP32;None;;
REP33;None;;
REP34;None;;
REP35;None;;
REP36;None;;
REP37;None;;
REP38;None;;
REP39;None;;
REP40;None;;
REP41;None;;
REP42;None;;
REP43;None;;
REP44;None;;
REP45;None;;
REP46;None;;
REP47;None;;
REP48;None;;
REP49;None;;
REP50;None;;
REP51;None;;
REP52;None;;
REP53;None;;
REP54;None;;
REP55;None;;
REP56;None;;
REP57;None;;
REP58;None;;
REP59;None;;
REP60;None;;
REP61;None;;
